object,Sample.Label,size,distance,Effort
128,1127,1,1.2,20
129,1131,1,0.5,20
130,1131,1,0.4,20
131,1133,1,4,20
132,1133,1,2.3,20
133,1133,1,3.8,20
134,1133,1,2.9,20
135,1133,1,1.7,20
136,1133,1,1,20
137,1134,1,0.1,20
138,1136,1,1.6,20
139,1139,1,5,20
140,1139,1,4.2,20
141,1139,1,1.7,20
143,1139,1,1,20
144,1139,1,1.4,20
145,1140,1,0.9,20
146,1141,1,1.6,20
147,1143,1,1.4,20
148,1152,1,1.4,20
149,1152,1,0.8,20
150,1152,1,1.1,20
151,1152,1,1.3,20
152,1152,1,1.4,20
153,1152,1,2.1,20
154,1152,1,2.1,20
155,1158,1,2.3,20
156,1158,1,1.5,20
157,1158,1,0,20
158,1158,1,2.2,20
159,1158,1,2,20
160,1158,1,0.3,20
161,1158,1,2.3,20
162,1158,1,3.3,20
165,1162,1,1.6,20
166,1162,1,2.5,20
167,1162,1,1.8,20
168,1163,1,0.4,20
169,1194,1,0.8,20
170,1209,1,1.2,20
171,1209,1,3,20
172,1209,1,2.1,20
173,1212,1,0,20
174,1229,1,7,20
175,1254,1,0.3,20
177,1260,1,1.3,20
178,1260,1,1.8,20
179,1288,1,1,20
180,1336,1,0.5,20
181,1337,1,2.7,20
182,1337,1,1.3,20
183,1340,1,0.6,20
184,1340,1,1.4,20
185,1341,1,3.2,20
186,1341,1,4,20
187,1341,1,4.1,20
188,1341,1,1.5,20
190,1342,1,1.8,20
191,1342,1,2.8,20
192,1342,1,3.3,20
193,1342,1,3,20
194,1342,1,3,20
195,1342,1,1.6,20
196,1342,1,1.5,20
197,1343,1,0.3,20
198,1343,1,0.3,20
199,1343,1,0.3,20
200,1344,1,1.4,20
201,1344,1,0.8,20
202,1344,1,0.1,20
203,1345,1,1.5,20
204,1350,1,1.3,20
205,1350,1,4.8,20
206,1350,1,4.5,20
207,1350,1,4.3,20
208,1350,1,3.7,20
209,1350,1,2.2,20
210,1350,1,0,20
211,1351,1,0.1,20
212,1352,1,1.5,20
213,1355,1,1.7,20
214,1356,1,0.1,20
215,1356,1,0.6,20
216,1358,1,1,20
217,1361,1,1.4,20
218,1370,1,2,20
219,1383,1,5,20
220,1383,1,4.1,20
221,1383,1,6,20
223,1460,1,0.3,20
224,1461,1,1.5,20
237,1479,1,1.7,20
238,1479,1,2.4,20
239,1479,1,2.7,20
240,1488,1,0.7,20
241,1494,1,2.5,20
242,1494,1,4.5,20
243,1497,1,2.3,20
244,1501,1,0.9,20
245,1503,1,5,20
246,1506,1,0,20
247,1507,1,1,20
249,1508,1,0,20
250,1508,1,0.3,20
251,1508,1,0.4,20
252,1508,1,0,20
253,1508,1,0.2,20
255,1508,1,1.2,20
291,1651,1,1.2,20
292,1652,1,0,20
294,1816,1,3.9,20
295,1816,1,3.8,20
296,1817,1,1.2,20
293,1818,1,4.4,20
297,1832,1,3.7,20
298,1832,1,3.6,20
302,1849,1,0.9,20
303,1849,1,1.1,20
304,1852,1,0.1,20
307,1908,1,2.4,20
308,1915,1,3,20
309,1915,1,0.6,20
310,1919,1,0.4,20
311,1920,1,1.5,20
312,1946,1,1.2,20
313,1953,1,1.2,20
314,1953,1,0.7,20
315,1953,1,0.3,20
316,1953,1,1.1,20
317,1953,1,2.8,20
318,1962,1,1,20
319,1964,1,2.1,20
320,1964,1,2.5,20
322,1997,1,1.2,20
323,1997,1,0.3,20
324,1997,1,1.5,20
325,1997,1,2.5,20
326,2002,1,0.1,20
327,2002,1,0.5,20
328,2002,1,0.9,20
331,2011,1,2.2,20
332,2011,1,1.1,20
333,2017,1,1.9,20
334,2018,1,1.1,20
335,2018,1,1.4,20
336,2018,1,1,20
337,2018,1,2,20
338,2040,1,0.7,20
339,2040,1,1.4,20
340,2040,1,1.9,20
342,2053,1,0.5,20
343,2053,1,0.3,20
344,2053,1,2.2,20
345,2053,1,1.3,20
346,2054,1,0.7,20
347,2054,1,0.5,20
348,2054,1,3.5,20
349,2054,1,3.2,20
350,2055,1,0.5,20
351,2056,1,1,20
352,2056,1,0.9,20
353,2057,1,0.4,20
354,2057,1,1.9,20
358,2065,1,1.2,20
359,2067,1,0.5,20
360,2067,1,2.4,20
365,2082,1,0.6,20
366,2082,1,0.5,20
367,2084,1,1.2,20
368,2084,1,1.1,20
369,2084,1,1,20
370,2084,1,0.7,20
371,2084,1,1.8,20
372,2088,1,0.3,20
373,2093,1,1.4,20
374,2093,1,0.8,20
375,2094,1,0.5,20
376,2126,1,2,20
