join_tr_se,transect,join_sec,lat,lon,ele,time,species,mark,distance,slope,veg_height,observer,join_ufcm
234,TR179,A,-54.684608,158.824111,189.869186,2018-03-05T05:54:36Z,AP,P,3.4,F,S,PP,5
2850,TR174,A,-54.70644998,158.844109,171.258148,2018-03-05T00:35:12Z,AP,P,1,U,S,PP,5
2834,TR173,A,-54.70667101,158.845026,186.938156,2018-03-05T00:17:20Z,AP,P,1.2,D,S,PP,2
2839,TR173,A,-54.70650396,158.845916,203.787735,2018-03-05T00:10:24Z,AP,P,5,D,S,PP,3
2834,TR173,A,-54.706669,158.845131,189.162643,2018-03-05T00:13:59Z,AP,P,2.4,D,S,PP,2
2876,TR176,A,-54.71849503,158.846134,117.534813,2018-03-05T02:28:12Z,AP,P,0.8,D,S,PP,1
360,TR176B,A,-54.71632403,158.836921,175.311691,2018-03-05T03:34:57Z,AP,P,4.5,U,S,PP,1
349,TR176B,A,-54.71560202,158.832171,235.437881,2018-03-05T03:44:49Z,AP,P,0.5,F,S,PP,2
233,TR179,A,-54.68514402,158.822295,193.046753,2018-03-05T05:43:51Z,AP,P,7,F,S,PP,5
2792,TR169,A,-54.72631903,158.843483,307.768402,2018-03-04T01:19:20Z,AP,P,6,U,S,JB,8
2792,TR169,A,-54.72609096,158.843463,300.300964,2018-03-04T01:21:46Z,AP,P,8,D,S,JB,8
2793,TR169,A,-54.72879798,158.845623,207.824036,2018-03-04T01:00:32Z,AP,P,3.7,U,S,JB,4
2806,TR171,A,-54.72910702,158.832091,312.687134,2018-03-04T02:52:57Z,AP,P,9,F,S,PP,2
2818,TR172,B,-54.70383801,158.857097,46.549778,2018-03-04T22:23:16Z,AP,P,0.5,U,T,PP,1
2806,TR171,A,-54.72901097,158.83211,309.957367,2018-03-04T02:52:13Z,AP,P,12,F,S,PP,2
2806,TR171,A,-54.72903896,158.832115,314.035675,2018-03-04T02:52:34Z,AP,P,13,F,S,PP,2
2814,TR171,A,-54.72837696,158.833,308.786621,2018-03-04T02:46:57Z,AP,P,21,F,S,PP,6
2806,TR171,A,-54.72872498,158.83235,309.49707,2018-03-04T02:50:02Z,AP,P,10,F,S,PP,2
2806,TR171,A,-54.72879496,158.832412,309.464203,2018-03-04T02:50:16Z,AP,P,4,F,S,PP,2
2814,TR171,A,-54.72850897,158.832872,304.545837,2018-03-04T02:48:05Z,AP,P,15,F,S,PP,6
2792,TR169,A,-54.72604101,158.8432,332.096039,2018-03-04T01:29:45Z,AP,P,2.7,U,S,JB,8
2800,TR171,A,-54.72280199,158.837377,233.733063,2018-03-04T02:31:34Z,AP,P,4.6,F,S,PP,5
2520,TR144,A,-54.756212,158.811816,241.987213,2018-03-01T06:30:27Z,AP,P,0.8,U,S,PP,5
2559,TR145,A,-54.73328297,158.83122,317.607086,2018-03-01T23:34:11Z,AP,P,1,D,S,PP,6
2559,TR145,A,-54.73309002,158.830942,317.408203,2018-03-01T23:35:31Z,AP,P,2.5,D,S,PP,6
2537,TR144,A,-54.75543902,158.810338,212.830505,2018-03-01T06:21:04Z,AP,P,1.4,D,S,PP,8
2518,TR144,A,-54.75562502,158.810595,212.414291,2018-03-01T06:23:04Z,AP,P,3.8,U,S,PP,5
