join_tr_se,transect,join_sec,lat,lon,ele,time,species,mark,distance,slope,veg_height,observer,join_ufcm
911,TR042,A,-54.62396703,158.831227,214.333771,2018-01-16T02:26:59Z,WHP,B,2.2,D,0,JB,8
930,TR043,A,-54.62533697,158.832154,207.982285,2018-01-16T03:18:22Z,WHP,B,3,D,0,JB,8
919,TR043,A,-54.62577903,158.832098,195.548447,2018-01-16T03:20:40Z,WHP,B,1.5,D,0,JB,5
925,TR043,A,-54.62511702,158.832138,207.885254,2018-01-16T03:16:36Z,WHP,B,6,D,0,JB,1
911,TR042,A,-54.62399402,158.831272,220.398453,2018-01-16T02:24:47Z,WHP,B,0.2,D,0,JB,8
911,TR042,A,-54.62398103,158.831252,206.526199,2018-01-16T02:26:46Z,WHP,B,0.8,D,0,JB,8
646,TR022,A,-54.57317202,158.90949,208.31929,2018-01-09T04:12:54Z,WHP,B,2.7,U,0,JB,5
646,TR022,A,-54.57321703,158.909455,204.788513,2018-01-09T04:13:36Z,WHP,B,9,U,0,JB,5
646,TR022,A,-54.57318904,158.909677,201.364029,2018-01-09T04:09:50Z,WHP,B,1,U,0,JB,5
646,TR022,A,-54.57318099,158.909499,205.911697,2018-01-09T04:11:56Z,WHP,B,3.4,U,0,JB,5
659,TR022,A,-54.57314202,158.909365,206.217911,2018-01-09T04:36:46Z,WHP,B,1.1,U,0,JB,4
659,TR022,A,-54.57318502,158.909308,207.469223,2018-01-09T04:38:44Z,WHP,B,5,U,0,JB,4
659,TR022,A,-54.57318996,158.909422,206.561996,2018-01-09T04:13:58Z,WHP,B,5.5,U,0,JB,4
659,TR022,A,-54.57314403,158.909442,208.145248,2018-01-09T04:14:17Z,WHP,B,0.5,U,0,JB,4
648,TR022,A,-54.57324796,158.909981,202.834076,2018-01-09T04:07:20Z,WHP,B,0.9,U,0,JB,2
646,TR022,A,-54.57321201,158.909786,204.468109,2018-01-09T04:08:12Z,WHP,B,0.4,U,0,JB,5
644,TR022,A,-54.573268,158.911458,163.621246,2018-01-09T03:54:00Z,WHP,B,2.2,D,0,JB,5
658,TR022,A,-54.57322399,158.911155,170.104858,2018-01-09T03:58:54Z,WHP,B,8,U,0,JB,4
3007,TR183,A,-54.595934,158.909976,204.098511,2018-03-07T00:55:12Z,WHP,B,0.9,U,S,PP,8
3003,TR183,A,-54.59583401,158.91012,199.524216,2018-03-07T00:56:17Z,WHP,B,0.3,U,S,PP,3
3000,TR182,A,-54.59664999,158.909588,222.805084,2018-03-07T00:14:00Z,WHP,B,3.6,D,S,PP,8
3007,TR183,A,-54.59617004,158.909613,213.659653,2018-03-07T00:52:16Z,WHP,B,1.3,U,S,PP,8
3003,TR183,A,-54.59569504,158.910272,196.886551,2018-03-07T00:58:05Z,WHP,B,0.7,D,S,PP,3
3003,TR183,A,-54.59569504,158.910275,196.886551,2018-03-07T00:58:07Z,WHP,B,0.7,D,S,PP,3
3003,TR183,A,-54.59572203,158.910204,199.578293,2018-03-07T00:57:16Z,WHP,B,1.3,U,S,PP,3
3003,TR183,A,-54.59570199,158.910238,196.781326,2018-03-07T00:57:43Z,WHP,B,0.8,U,S,PP,3
3003,TR183,A,-54.59566997,158.910263,195.902161,2018-03-07T00:59:39Z,WHP,B,0.5,U,S,PP,3
3003,TR183,A,-54.59565002,158.910254,197.200989,2018-03-07T01:00:58Z,WHP,B,0.5,U,S,PP,3
3003,TR183,A,-54.59567098,158.910315,195.809326,2018-03-07T00:58:40Z,WHP,B,3.8,D,S,PP,3
3003,TR183,A,-54.59566897,158.910262,195.902161,2018-03-07T00:59:24Z,WHP,B,0.6,U,S,PP,3
3008,TR183,A,-54.59562002,158.910262,197.602539,2018-03-07T01:02:28Z,WHP,B,0.9,D,S,PP,8
