join_tr_se,transect,join_sec,lat,lon,ele,time,distance,slope,veg_height,observer,join_ufcm
2615,TR150,A,-54.72722101,158.812962,263.129547,2018-03-02T04:51:06Z,2.4,D,S,PP,8
2615,TR150,A,-54.72722403,158.812962,262.854706,2018-03-02T04:51:11Z,2.4,D,S,PP,8
2597,TR150,A,-54.72336802,158.814836,236.661911,2018-03-02T04:08:47Z,4.3,U,S,PP,2
2597,TR150,A,-54.72337103,158.814842,236.663437,2018-03-02T04:09:20Z,2,U,S,PP,2
2597,TR150,A,-54.72335,158.814826,236.151321,2018-03-02T04:08:12Z,1.9,U,S,PP,2
2597,TR150,A,-54.72336299,158.814833,236.156281,2018-03-02T04:08:44Z,4.2,U,S,PP,2
2597,TR150,A,-54.72338797,158.814836,236.689438,2018-03-02T04:09:41Z,4.6,U,S,PP,2
2626,TR150,A,-54.72382902,158.814434,229.776871,2018-03-02T04:11:10Z,1.5,U,S,PP,4
2721,TR160,A,-54.75006698,158.841718,291.901123,2018-03-03T02:22:28Z,2.5,U,S,PP,3
2721,TR160,A,-54.75007603,158.841633,279.369049,2018-03-03T02:23:58Z,1.4,U,S,PP,3
2721,TR160,A,-54.750086,158.841713,296.642822,2018-03-03T02:21:44Z,1,U,S,PP,3
2721,TR160,A,-54.75012003,158.841694,288.191162,2018-03-03T02:22:01Z,4.1,U,S,PP,3
2737,TR161,A,-54.74676602,158.836828,321.401794,2018-03-03T03:21:40Z,2,D,S,PP,8
2733,TR161,A,-54.74675998,158.8368,320.938538,2018-03-03T03:21:55Z,2.1,D,S,PP,2
2721,TR160,A,-54.750057,158.841112,295.087341,2018-03-03T02:25:36Z,1.6,U,S,PP,3
2737,TR161,A,-54.74676199,158.836827,318.547791,2018-03-03T03:21:30Z,0.6,D,S,PP,8
2737,TR161,A,-54.74674799,158.836883,323.346283,2018-03-03T03:22:33Z,2.4,D,S,PP,8
2737,TR161,A,-54.74675101,158.836895,323.345062,2018-03-03T03:22:38Z,3.4,D,S,PP,8
2737,TR161,A,-54.74675898,158.836859,323.536041,2018-03-03T03:22:08Z,3.5,D,S,PP,8
2737,TR161,A,-54.74675604,158.836871,323.348511,2018-03-03T03:22:13Z,3.6,D,S,PP,8
2737,TR161,A,-54.74663903,158.836921,322.40625,2018-03-03T03:23:47Z,7.2,D,S,PP,8
2737,TR161,A,-54.74664004,158.836924,324.469482,2018-03-03T03:23:53Z,7,D,S,PP,8
2737,TR161,A,-54.74669603,158.836982,324.383118,2018-03-03T03:23:10Z,2.5,D,S,PP,8
2737,TR161,A,-54.74668899,158.836987,321.970367,2018-03-03T03:23:13Z,1.5,D,S,PP,8
198,TR152,A,-54.731735,158.810948,260.835022,2018-03-02T05:44:24Z,1.3,U,S,JB,2
203,TR152,A,-54.73375998,158.815929,293.779236,2018-03-02T05:56:46Z,5.5,D,S,JB,2
198,TR152,A,-54.73172603,158.810934,260.835083,2018-03-02T05:44:15Z,1.2,U,S,JB,2
198,TR152,A,-54.73172704,158.810938,260.835083,2018-03-02T05:44:20Z,1.5,U,S,JB,2
203,TR152,A,-54.733748,158.815877,293.774902,2018-03-02T05:57:00Z,5,D,S,JB,2
2638,TR153,A,-54.73762496,158.826598,328.749817,2018-03-02T06:20:02Z,4.3,D,S,JB,2
203,TR152,A,-54.73375403,158.815928,293.77771,2018-03-02T05:56:50Z,5.8,D,S,JB,2
203,TR152,A,-54.73375797,158.815928,293.77771,2018-03-02T05:56:54Z,6,D,S,JB,2
2638,TR153,A,-54.737732,158.826683,326.82077,2018-03-02T06:20:48Z,3.1,D,S,JB,2
2638,TR153,A,-54.73773996,158.826662,325.760284,2018-03-02T06:21:06Z,6,D,S,JB,2
